type,id,value
trip,Vehicle 9,7.501698017120361
trip,Vehicle 3,10.476842641830444
trip,Vehicle 7,11.476670026779175
ev_response,EV,4.502441167831421
trip,Vehicle 1,19.477071285247803
trip,Vehicle 8,18.496840953826904
trip,Vehicle 10,8.989696025848389
trip,Vehicle 4,24.479004621505737
trip,Vehicle 6,18.97962999343872
trip,Vehicle 9,13.010440111160278
trip,Vehicle 7,9.970568895339966
ev_response,EV,1.5754199028015137
trip,Vehicle 3,20.002432107925415
trip,Vehicle 10,12.988053798675537
trip,Vehicle 6,7.988687992095947
trip,Vehicle 1,7.9710845947265625
ev_response,EV,2.688173770904541
trip,Vehicle 2,11.990104913711548
trip,Vehicle 7,10.988775968551636
ev_response,EV,0.2968769073486328
trip,Vehicle 9,13.989171743392944
trip,Vehicle 10,17.964473485946655
ev_response,EV,1.0525484085083008
ev_response,EV,0.8219432830810547
trip,Vehicle 7,11.990073680877686
trip,Vehicle 3,8.99897575378418
trip,Vehicle 1,17.987788438796997
trip,Vehicle 6,13.989536762237549
trip,Vehicle 4,13.97749638557434
trip,Vehicle 5,13.999329090118408
ev_response,EV,1.585489273071289
trip,Vehicle 9,7.9653356075286865
trip,Vehicle 2,14.989758491516113
ev_response,EV,0.8360826969146729
ev_response,EV,0.0812530517578125
ev_response,EV,1.7165169715881348
trip,Vehicle 6,13.98087739944458
ev_response,EV,0.37018418312072754
ev_response,EV,0.4495999813079834
ev_response,EV,1.5792818069458008
trip,Vehicle 4,13.006386756896973
trip,Vehicle 9,7.980958700180054
ev_response,EV,1.2807013988494873
trip,Vehicle 7,18.98899507522583
trip,Vehicle 1,21.99070453643799
trip,Vehicle 5,15.989253520965576
ev_response,EV,0.8920035362243652
trip,Vehicle 4,11.990546941757202
trip,Vehicle 3,22.992843627929688
ev_response,EV,3.978931188583374
trip,Vehicle 2,10.970802307128906
trip,Vehicle 1,15.965295314788818
ev_response,EV,0.07463335990905762
trip,Vehicle 9,10.988155841827393
trip,Vehicle 4,11.016385316848755
trip,Vehicle 8,13.989828109741211
ev_response,EV,0.7538292407989502
trip,Vehicle 7,19.98885464668274
trip,Vehicle 6,20.99069833755493
trip,Vehicle 10,14.989509344100952
trip,Vehicle 2,12.988489627838135
ev_response,EV,0.5247476100921631
trip,Vehicle 3,16.987979650497437
ev_response,EV,0.44676852226257324
trip,Vehicle 1,14.999289751052856
ev_response,EV,0.5281467437744141
ev_response,EV,0.0886545181274414
trip,Vehicle 5,8.989248037338257
ev_response,EV,0.08618378639221191
trip,Vehicle 10,11.00791335105896
trip,Vehicle 7,13.989335775375366
ev_response,EV,2.316798448562622
trip,Vehicle 3,12.98967719078064
trip,Vehicle 6,14.98847484588623
trip,Vehicle 1,9.988818407058716
trip,Vehicle 4,16.989505290985107
ev_response,EV,2.924337148666382
trip,Vehicle 8,12.965089082717896
ev_response,EV,0.2362687587738037
ev_response,EV,1.954303503036499
trip,Vehicle 7,16.998095989227295
ev_response,EV,1.5764126777648926
trip,Vehicle 2,24.988998651504517
ev_response,EV,2.99644136428833
ev_response,EV,0.08235406875610352
trip,Vehicle 4,19.975640058517456
trip,Vehicle 1,8.97932744026184
trip,Vehicle 7,11.9889817237854
trip,Vehicle 9,17.98886489868164
trip,Vehicle 10,16.964166164398193
ev_response,EV,0.30248379707336426
ev_response,EV,0.3755159378051758
trip,Vehicle 5,14.989170551300049
trip,Vehicle 1,10.999433040618896
ev_response,EV,0.5973770618438721
trip,Vehicle 6,10.989312648773193
trip,Vehicle 2,23.99495768547058
trip,Vehicle 7,14.989784955978394
trip,Vehicle 9,11.01490306854248
ev_response,EV,0.15208101272583008
trip,Vehicle 8,13.96370267868042
ev_response,EV,0.9745121002197266
trip,Vehicle 10,15.97077202796936
trip,Vehicle 4,10.989480018615723
ev_response,EV,0.44495630264282227
ev_response,EV,1.0518038272857666
trip,Vehicle 5,18.991098165512085
ev_response,EV,3.4530274868011475
trip,Vehicle 9,12.989407062530518
trip,Vehicle 1,19.989920139312744
ev_response,EV,0.373577356338501
ev_response,EV,0.22066068649291992
ev_response,EV,0.8850586414337158
ev_response,EV,2.7766332626342773
trip,Vehicle 8,11.962837934494019
trip,Vehicle 7,23.988982439041138
trip,Vehicle 2,23.01702308654785
trip,Vehicle 4,14.98844051361084
ev_response,EV,0.3140082359313965
trip,Vehicle 10,21.988682508468628
ev_response,EV,0.45594167709350586
trip,Vehicle 3,17.99041724205017
ev_response,EV,0.1542973518371582
trip,Vehicle 8,10.989213466644287
ev_response,EV,0.07362198829650879
trip,Vehicle 1,8.967544794082642
trip,Vehicle 6,11.988239288330078
trip,Vehicle 5,12.989820003509521
trip,Vehicle 9,28.972144603729248
trip,Vehicle 4,17.976295948028564
ev_response,EV,3.0803098678588867
ev_response,EV,2.4840588569641113
trip,Vehicle 6,7.989584445953369
ev_response,EV,0.6834721565246582
trip,Vehicle 10,11.984590530395508
trip,Vehicle 8,18.966206312179565
trip,Vehicle 1,15.989181518554688
trip,Vehicle 7,9.997628927230835
ev_response,EV,0.0782308578491211
trip,Vehicle 4,15.986368417739868
ev_response,EV,0.23602914810180664
trip,Vehicle 3,10.988855361938477
ev_response,EV,1.2852392196655273
trip,Vehicle 5,12.009095907211304
trip,Vehicle 7,10.990199565887451
trip,Vehicle 2,15.989652156829834
ev_response,EV,1.8898646831512451
ev_response,EV,1.347707986831665
trip,Vehicle 8,20.99009919166565
ev_response,EV,1.574878454208374
trip,Vehicle 9,18.98784637451172
trip,Vehicle 6,28.989978790283203
ev_response,EV,0.6702251434326172
trip,Vehicle 2,11.98844575881958
trip,Vehicle 5,7.989794731140137
trip,Vehicle 7,15.972029209136963
ev_response,EV,1.4021415710449219
ev_response,EV,0.3881354331970215
ev_response,EV,2.108044385910034
trip,Vehicle 9,11.989963054656982
trip,Vehicle 1,7.988853931427002
trip,Vehicle 8,17.98900032043457
trip,Vehicle 10,15.990165710449219
trip,Vehicle 3,17.983489990234375
trip,Vehicle 4,11.98970913887024
ev_response,EV,0.5293426513671875
trip,Vehicle 2,7.989675998687744
ev_response,EV,2.0296685695648193
trip,Vehicle 5,11.989750146865845
ev_response,EV,2.553128957748413
trip,Vehicle 9,14.988651275634766
trip,Vehicle 1,13.989720821380615
trip,Vehicle 2,11.988906383514404
trip,Vehicle 3,15.969482183456421
trip,Vehicle 7,19.98952555656433
ev_response,EV,0.6816277503967285
trip,Vehicle 8,13.973796129226685
trip,Vehicle 5,9.988939046859741
ev_response,EV,1.4250926971435547
trip,Vehicle 1,9.989060401916504
trip,Vehicle 10,16.968719482421875
trip,Vehicle 4,10.989217758178711
trip,Vehicle 7,16.00687289237976
trip,Vehicle 5,12.974987030029297
ev_response,EV,10.422113418579102
ev_response,EV,0.5290725231170654
trip,Vehicle 9,26.986940145492554
ev_response,EV,0.07082772254943848
ev_response,EV,3.7480862140655518
trip,Vehicle 1,18.97937822341919
trip,Vehicle 3,17.973321199417114
trip,Vehicle 8,19.991498947143555
trip,Vehicle 2,16.99564290046692
ev_response,EV,0.15302824974060059
ev_response,EV,0.45601916313171387
trip,Vehicle 5,18.986007928848267
