type,id,value
trip,Vehicle 6,16.488500595092773
trip,Vehicle 3,16.48806667327881
trip,Vehicle 10,20.987121105194092
trip,Vehicle 7,15.926058530807495
ev_response,EV,3.271268606185913
trip,Vehicle 5,24.26412606239319
trip,Vehicle 1,28.322518348693848
ev_response,EV,3.1416015625
trip,Vehicle 4,20.80517864227295
trip,Vehicle 9,34.608654737472534
ev_response,EV,4.171720027923584
trip,Vehicle 7,15.148301362991333
trip,Vehicle 1,18.445996046066284
trip,Vehicle 5,22.80661678314209
trip,Vehicle 10,34.19871211051941
avg_rho,-,0.0375
